iter	Logloss
0	0.6901526969
1	0.6868292686
2	0.6824806836
3	0.6793312051
4	0.6755197324
5	0.6725773098
6	0.6693987461
7	0.6671858156
8	0.6644572511
9	0.6611607572
10	0.6581133448
11	0.6555560477
12	0.6525454013
13	0.6503735936
14	0.6476112148
15	0.6449262054
16	0.641842956
17	0.6397078792
18	0.6374295132
19	0.6351372059
20	0.6326876616
21	0.6302646657
22	0.6289973415
23	0.6263895629
24	0.6239939181
25	0.6220267094
26	0.6204181665
27	0.6185788754
28	0.6168657472
29	0.6155183428
30	0.6140294341
31	0.6122837644
32	0.6108483238
33	0.6089144658
34	0.6074898282
35	0.6063310489
36	0.60513639
37	0.6036243202
38	0.6022064016
39	0.6006964962
40	0.5998970992
41	0.5986491154
42	0.5977867445
43	0.5965880359
44	0.5954820857
45	0.594022435
46	0.5928701111
47	0.5921633989
48	0.591156086
49	0.5897716423
50	0.5888416159
51	0.5883008488
52	0.5870142543
53	0.5861994357
54	0.5851663778
55	0.5844878931
56	0.5837488526
57	0.5826934645
58	0.5819685786
59	0.5812272887
60	0.5802173479
61	0.5794966427
62	0.5784165982
63	0.5780027455
64	0.5772071604
65	0.5766845578
66	0.5757730023
67	0.5749873558
68	0.5742324991
69	0.5735696208
70	0.5726878714
71	0.5720000927
72	0.5713747275
73	0.5704345101
74	0.5698233071
75	0.5690285696
76	0.568377898
77	0.5678175021
78	0.5669820096
79	0.5666613879
80	0.5660966991
81	0.5654724025
82	0.5650727798
83	0.5645570069
84	0.5639300569
85	0.5633976548
86	0.5627613775
87	0.562306376
88	0.5617046809
89	0.5612909137
90	0.5607008701
91	0.5605654674
92	0.560064177
93	0.5593228835
94	0.5586979853
95	0.5582724186
96	0.5575106963
97	0.5567201089
98	0.5559764099
99	0.5554530099
100	0.5549199101
101	0.5546261832
102	0.5543376696
103	0.553766228
104	0.5531507862
105	0.5526189443
106	0.5522261401
107	0.5516867508
108	0.5510605478
109	0.5506238805
110	0.5501246068
111	0.5497101095
112	0.5491734825
113	0.5487226586
114	0.5485604299
115	0.5479217192
116	0.547465805
117	0.5472363252
118	0.5466542633
119	0.5463636663
120	0.5457088351
121	0.545370271
122	0.5450158861
123	0.5448579394
124	0.5445854632
125	0.5441731217
126	0.5437273228
127	0.5434435733
128	0.5434049593
129	0.5429196794
130	0.542836505
131	0.5421435874
132	0.5417462718
133	0.5414478393
134	0.5407557523
135	0.5406153164
136	0.5404796539
137	0.540267334
138	0.5400859175
139	0.5399137942
140	0.5395180642
141	0.5389272975
142	0.5387420927
143	0.5385995308
144	0.538207298
145	0.5378683898
146	0.5375261069
147	0.537473825
148	0.5370538686
149	0.536829015
150	0.536735636
151	0.5364666656
152	0.5363048653
153	0.5362095125
154	0.5361948137
155	0.5359201466
156	0.5357186515
157	0.5354976002
158	0.5350022486
159	0.5347157897
